,Pt3,Pt4,Force(100),Elasto(90),RopeAngle(100),Inclino(80)X,Inclino(80)Y,Inclino(81)X,Inclino(81)Y,Inclino(80)X_0_5,Inclino(80)Y_0_5,Inclino(81)X_0_5,Inclino(81)Y_0_5,Inclino(80)X_5_10,Inclino(80)Y_5_10,Inclino(81)X_5_10,Inclino(81)Y_5_10,Inclino(80)X_10_20,Inclino(80)Y_10_20,Inclino(81)X_10_20,Inclino(81)Y_10_20
BK10 M04,5.1545707263343,4.930743951039592,2.613562049264293,-43.72488243493249,5.215542529699288,0.033186669435116736,0.010338175313831787,0.040770265451973126,-0.0008195641749743688,0.0005942130523983727,0.00523647121119918,0.0015379034848593735,0.0020528955575238924,0.00040324406311053983,0.004629990736371267,0.0014418757258044823,0.001890366091711627,-0.00015021762648083348,0.00490302702688452,0.001634754215649289,0.002707513386468583
BK11 M02,12.603191175330348,12.527968736943782,6.604016697007348,-68.3268724047646,16.73439661170481,0.08018794660265068,0.0006667994753107843,0.06640479833840719,-0.004660833367829331,-0.0002580405156881311,0.00044394693100498797,-0.0012693674585500007,0.00043658157245730114,0.000193499388267206,0.0027379622864828757,-0.0013548786771433344,-0.0002797663059962594,0.0007666800325691923,0.0030983908264402417,-0.0003283223194349077,0.00010139714321226379
BK11 M03,13.50328199889029,13.075434078744971,7.2755904444518995,-76.78942904226074,4.341154957557833,0.08240909688076771,-0.0018740195470308449,0.07928516373861207,-0.004785502542001722,-0.0013264750039439594,-0.0013803660835598915,0.0001716867167408802,0.0008516052833966824,0.0005776537808076395,0.0005787221472999836,0.004983494986876865,0.0004645217766010622,0.0016161314436420149,0.0016253131241985663,0.0047245490584794615,-1.8363818694264065e-05
BK11 M04,15.009456886386033,15.116386053122874,7.958104396510486,-81.85349711056887,7.540011043670759,0.09654302750409655,0.0010864526072570499,0.08863659339029412,-0.001529226738192488,-0.0007453937566788435,0.0008765450601819989,0.0008587533680452511,0.0021255304038545544,-0.0006583834095132776,0.0002159062248856906,0.004220667905820207,0.0011385992034364048,-5.075398382673622e-05,0.00011643433294608692,0.005537594644750552,0.0036486779893607313
BK12 M02,8.608193153097496,8.374569835063893,2.6064600604211368,-63.27813490390466,1.8992601060675751,0.1518749630422015,-0.008936838378391225,0.07097992047468168,-0.004921423256273563,0.030768707083364592,-0.0012558360286900497,-0.0013584659545072086,0.0011297674109183072,0.08857835400402526,-0.001136750916008729,-0.0027014358862624153,-0.002199530546827873,0.0879843992520755,-0.0018224035992209277,-0.001330526350554528,-0.0018505658648689033
BK12 M03,8.017111794807176,7.863595277800427,2.5111374297061517,-60.04564299873301,6.346021590624195,0.12886109072399618,-0.009757415021628711,0.06963689779491211,0.001155916084376546,0.017658572834585974,0.0004214207201327267,-0.004359348519204337,0.0033404106664266524,0.06447445085490713,-0.00024214918285182,-0.001318130695029286,0.0021324565480489964,0.06889213679887102,-0.0027244115271444786,0.0021485729180609017,0.001836443399901435
BK12 M04,9.11488648689597,8.953492642774572,2.8140546357206238,-68.93687141786215,3.9837000152309345,0.1660924592169334,-0.017941042138709458,0.08537290433289879,-0.004122192077957423,0.012489185157891705,0.0001825421215272453,-0.003437225256958983,0.0017458243144950715,0.09609116689805679,-0.007979872537637149,0.007209549001757255,-0.00031263458956372456,0.12049985710622399,-0.010551727788173945,0.03201971900616666,-0.002005718734416167
BK13 M02,-22.71619722927786,-21.62721632908201,6.686848514112577,-87.97370602273246,13.834780449808196,0.1405182511828447,0.004304771844776394,0.13456427114164926,0.0007065032373806135,0.0010134068384034102,0.0018768120469051862,-0.0013291784239391933,0.0001407160404056881,0.0013882678806416973,0.002897673509597146,1.3436354839206342e-05,0.0005141770864091908,0.0024050778130572906,0.00121387971211213,0.00097913660796296,5.371827794402427e-05
BK13 M03,-22.894902856371726,-21.811997401507487,7.207912023979614,-87.44166988450105,11.244888346420064,0.14443874847002472,0.0007669110214092377,0.14771733843763776,-0.00444197720697199,0.0013960441173523467,-0.002136222821054766,0.003173271402217129,-0.003696545026203334,0.0037292983503178843,-0.0025034139201032526,0.007012639196107078,-0.004947328801409652,0.004587475717266937,-0.0019004310932339895,0.009272977110092817,-0.004794900067911316
BK13 M04,-24.916225611765444,-23.72241334769621,7.414698040399624,-93.85218334519412,17.03064612655966,0.15680638001993782,0.0028891931492684903,0.1578508737638907,-0.0003521655179690291,-0.0015699512862947628,0.0005544912726074716,0.0009609418159930745,6.425739065512917e-05,0.0008834496816918957,0.0023633513413684124,0.003359968211651621,0.0002714663866782027,0.0005018369284505198,0.000485666899053034,0.003969774492790269,0.000720287842319339
BK14 M02,9.24512236929968,8.908996069239038,2.691870060245893,-54.061949317713115,0.9829273774326079,0.05878577592784081,-0.0063179825966461255,-0.012683788946123832,0.03900420443995964,0.0027056999376467803,-0.0020813110380203254,0.000706531603580068,-0.00017780483286586795,0.007177360993957957,-0.0027864981069983725,0.0008575599222010548,-0.0006050910066988012,0.008384841482664005,-0.0024248996770707028,0.00012129015391816711,0.0005333209827867186
BK14 M03,6.06593171573957,5.245123987115833,,-47.71054867113354,,0.062359980823490375,-0.0012619817732098992,-0.007372026526349682,0.040402616859667055,0.0052710035252662175,0.0016052303100693738,-0.002319307743018725,0.0024421838020041928,0.016578715269214086,0.0036370375655926292,-0.004892626978539715,0.0011104133650359082,0.016369178655156923,0.0032126896760526916,-0.005309556526890751,0.0009712236627071269
BK14 M04,6.422889500164919,6.2181791298619915,2.4656398853877666,-49.24631651653356,16.572328832961794,0.06684931022610827,0.0027657868151814663,-0.006702289419232037,0.03363823944730962,0.006098673287852039,-0.0009295487972704059,-0.0005962103419320413,-0.0013588474103339565,0.017694168626473886,0.001390554812734829,-0.001495690708377314,-0.002373112693552561,0.01744185061712856,0.002832393535179339,-0.003087862785591764,-0.0021423631413809803
BK16 M02,7.327164525064389,6.999514255697766,2.5909810298256324,-56.129594181122116,5.030961016732831,0.08028321323286654,-0.0004541243130528846,0.1273521327069771,-0.0005994740412185736,0.007382629446084862,-0.00207697672180775,0.033927298177744446,-0.0062871942102005396,0.016287651397580927,-0.0013608945459284327,0.06432168916790604,-0.013246496494387512,0.02199666070601493,-0.002044474693003477,0.07150442153071523,-0.011958988185050118
BK16 M03,7.4447793355879925,7.36065607497868,,,,0.07524637925092195,-0.0013826474268563553,,,0.005163823207013695,-0.0014505087897585885,,,0.013893035193186637,-0.000662362659386168,,,0.012624901273885925,0.00018908878783610976,,
BK16 M04,6.152667580307429,6.519360041131424,2.8745596001437717,-62.51717276442249,1.40494456890931,0.09736152418443106,-0.002256701674218331,0.12804760214605848,-0.00753023700465564,0.006157349530556462,0.0025213742277061706,0.021966116792613347,-0.004802569121047811,0.02084262394177052,0.0021732649647850082,0.06235513260672355,-0.016016871373732,0.021910632746534327,0.0024000564641162092,0.06211972485857296,-0.015168206159390785
BK21 M02,-36.244515166245264,-35.79199240226629,11.394807077587732,-155.49606091487445,-12.18682999848846,0.14412137159286972,-0.16933629116069746,0.33096192323034135,-0.004988425339207758,0.0,-0.020381584860962493,0.020381584860962493,0.0,0.0,-0.06327760922628971,0.06327760922628971,0.0,0.0,-0.12382426984703152,0.12382426984703152,0.0
BK21 M03,-32.46430900657239,-32.14676967694177,13.748651392943694,-157.028200253402,-6.6156329132569045,0.15735865390326756,0.013363901328105863,0.16490809886405247,0.002035068413375871,0.002591059334213049,-0.0002883541053793985,0.0009378027769966827,0.0020815250997176676,0.0031766786191730484,-0.0008797843221615845,0.0019496320650805978,0.004667061206780835,0.004415816663864035,-0.0009905343133922238,0.00446867758476514,0.0029849860183457366
BK21 M04,-34.58001451730702,-34.16031784500009,12.766138575870503,-157.44312881194872,7.832676477503423,0.1547759888054401,0.015868673336013352,0.16391668435616757,-0.004324210079849154,0.0008297857939967846,0.0004473001137722069,0.002860328327197528,-0.0001378323631441854,-0.0007365942687540952,-0.0006964035513567544,0.0022937798233233267,-0.0005624748593332512,0.0009383992759597751,-0.0010324595903099568,0.0036153770548013305,0.0007024854852947743
BK24 M02,-23.355030935407484,-23.452465692768186,12.711632553732692,-118.61176498676785,-9.715947325799874,-0.11863538726326289,0.03248061229745259,0.11117715773295613,-0.04981636574493955,0.0055631719260640315,0.005108731931614752,0.0037715799760592015,-0.0005108492875165058,0.005896944566849413,0.005003694424204441,0.0044491933856815775,0.00015303517448656497,0.004886741297667237,0.0050872534310859585,0.0042660860642550116,-0.0012801336199627256
BK24 M03,-17.874090893155714,-17.780698682180805,9.351593446904808,-92.5403388644119,-14.264000832688444,-0.09366242545491463,0.02518163552740828,0.0890948449361143,-0.038546991950265536,9.331602271599916e-06,0.005350156548747219,0.0055774704078819974,-0.005321120415301421,0.0004080830212854935,0.005721943980410902,0.008660437148563063,-0.005271503150442256,0.0009683514618202407,0.005464660233448214,0.008737033829214801,-0.006261595511769857
BK24 M04,-19.3011244912761,-19.487047480580095,11.124356710428343,-103.91386095902958,-11.11819388282641,-0.10917313857845944,0.025014945902391245,0.08741390823332934,-0.04125568888895583,0.0006004148043953218,0.0006020521182968822,-0.0013975171232210196,-0.0007562036483599069,-0.0003727695515276516,0.0001213605675276719,-0.00119852333759659,-0.0007800301645002227,-0.00023042963336584023,1.0285867000169303e-06,-0.002631800190358306,-0.001621365952251986
